Date,Age,Missing from,Circumstances,
29-Oct-44,24,Adriatic Sea,"Davis, an American aviator and member of the Tuskegee Airmen, disappeared during a reconnaissance mission over the Adriatic Sea off the coast of Italy. He was presumed to have been killed, but his remains have never been found.",
07-Nov-44,21,Liberia,"Clint Castleberry was an American college football player and later a USAAF Lieutenant who disappeared on 7 November 1944 after taking off from Roberts Field in Liberia with another plane, and was later presumed dead after a Royal Air Force plane saw unidentified wreckage that was thought to have been from one of the planes.",
08-Nov-44,29,North Sea,"Deinboll, a Norwegian engineer and resistance fighter who took part in sabotage operations against German locomotives, disappeared in transit between the United Kingdom and Norway and was never seen again.",
22-Nov-44,72,Baltic Sea,"Pitka was an Estonian navy commander and prominent fighter in the Estonian War of Independence. In 1944, he returned to his country from his exile in Finland to fight against the Soviet occupying forces, but is thought to have been killed in action.",
15-Dec-44,40,English Channel,"An American big band leader and recording artist, Miller went missing on the night of 15 December 1944 in a U.S. Army UC-64 Norseman that disappeared over the English Channel while en route from the United Kingdom to Paris, France. Miller was on the flight to make arrangements for his band to entertain Allied servicemen.",
26-Feb-45,57,Pacific Ocean,"Harmon, a United States Army Air Forces lieutenant general and one of the highest-ranking Americans to die in World War II, his chief of staff Brigadier General Andersen, and pilot Savage disappeared while traveling between Kwajalein Atoll and Hawaii. The aircraft was never recovered.",
James Roy Andersen,,,,
F. E. Savage,,,,
27-Mar-45,50,North Atlantic Ocean,"Drummond, an Australian-born RAF senior commander, and Brabner, a British MP, along with many others, disappeared with the Consolidated Liberator II Commando while on a flight from RAF Northolt to Lajes Field in the Azores, en route to Ottawa in Canada.",
Rupert Brabner,,,,
01-Aug-45,23,"Off Yakushima, Ōsumi Islands, Japan","A Japanese fighter ace with twenty-five confirmed kills, Kanno went missing off the island of Yakushima on 1 August 1945. His remains were never found.",
30-Jan-48,53,Bermuda Triangle,"A retired RAF Air Marshal, Sir Arthur Coningham disappeared when an Avro Tudor IV, G-AHNP Star Tiger, went missing over the western Atlantic.[202] He was one of 25 passengers, together with six crewmen, who were lost when the flight from Santa Maria Airport in the Azores failed to reach its destination of Kindley Field, Bermuda. Star Tiger's sister aircraft G-AGRE Star Ariel also disappeared over the western Atlantic, with the loss of all seven crewmen and 13 passengers, while flying from Bermuda to Kingston Airport, Jamaica, the following year.",
08-Jun-52,48,Mediterranean Sea,"A decorated Royal Air Force officer, Atcherley was lost at sea while on a 40-minute flight from Egypt to Nicosia, Cyprus. Despite extensive searches from British, Israeli, Turkish and American aircraft, neither he or his plane have ever been located.",
07-Feb-53,Various,Indian Ocean,"The Holchu, a small cargo ship, was sighted adrift in the Indian Ocean on 7 February 1953, around 200 mi (320 km) south of the Nicobar Islands, by HMT Empire Windrush. She was later boarded by the crew of a British cargo ship, alerted by Windrush's radio warning. They found no trace of the crew and the Holchu was towed to Colombo. Holchu was carrying a cargo of rice and was in good condition, aside from a broken mast. Adequate supplies of food, water and fuel were found, and a meal had been prepared in the ship's galley. The fate of the Holchu's crew remains unknown.",
10-Nov-55,Various,South Pacific Ocean,"On 10 November, the 69 ft (21 m) merchant vessel Joyita was found abandoned, partially submerged and listing heavily to port, north of the Pacific island of Vanua Levu, part of Fiji. There was no sign of the 25 passengers and crew who had been aboard when it was last seen on its departure from Apia, Samoa five weeks earlier. An extensive investigation has failed to find any trace of the passengers or crew.",
23-Nov-55,Various,Unknown,SS Empire Adur served for a further seven years but went missing under tow by the Philippines registered tug Albacore to Hong Kong for scrapping. Both vessels were presumed lost. Her last reported position was north of the Paracel Islands at 17°56′N 113°45′E﻿ / ﻿17.933°N 113.750°E﻿ / 17.933; 113.750 on 23 November 1955.,
10-Mar-56,31,Mediterranean Sea,"Three United States Air Force airmen, commander Captain Robert H. Hodgin, observer Captain Gordon M. Insley and pilot 2nd Lt. Ronald L. Kurtz disappeared when their B-47 failed to make contact with an aerial refueling tanker at 14,000 ft over the Mediterranean Sea. While the unarmed aircraft was transporting two different capsules of nuclear weapons material in carrying cases, a nuclear detonation was not possible.",
Gordon M. Insley,,,,
Ronald L. Kurtz,,,,
29-Apr-56,46,Portsmouth Harbour,"Crabb, a retired British Royal Navy frogman, disappeared during an MI6 mission to spy on the Soviet Sverdlov-class cruiser Ordzhonikidze. The coroner concluded that a body (missing its head and hands) in a frogman suit found floating in Chichester Harbour the following year was Crabb's but a positive identification was never made nor cause of death determined.",
Jul-58,52,North Pacific Ocean,"An American rear admiral serving in the Navy, Quiggle disappeared aboard the SS President Cleveland on his way back to California from a trip to Tokyo. His body was never found, and he is officially listed as ""lost at sea"" due to unknown circumstances.",
09-Nov-58,48,Atlantic Ocean,"Broadbent, a British pilot who took part in air racing and record-breaking flights in the 1930s, piloted Martin PBM Mariner CS-THB named ""Porto Santo"" from Cabo Ruivo Seaplane Base near Lisbon, headed for Funchal, Madeira. Accompanied by co-pilot Rowell, 4 other crew and 30 passengers, a radio message code ""QUG"" (meaning ""I am forced to land immediately"") was received when the plane would have been over the Atlantic. No trace of the aircraft or its occupants was subsequently found.",
Thomas Rowell,,,,
28-Oct-59,27,Straits of Florida,"A Cuban revolutionary and friend of Fidel Castro, Camilo Cienfuegos disappeared when his Cessna 310 went missing over the Straits of Florida during a night flight from Camagüey to Havana.",
09-Sep-61,39,"Pacific Ocean near Santa Monica, California, U.S.","Webster was a journalist for the Los Angeles Daily News, The Saturday Evening Post and a World War II veteran with ""Easy"" Company of the 506th Parachute Infantry Regiment, 101st Airborne Division (the subject of the book and miniseries Band of Brothers). He disappeared while shark fishing near the Santa Monica coast and is presumed to have drowned.",
16-Jun-62,21,Gibraltar/Straits of Gibraltar,"A soldier in the 1st Battalion, Somerset and Cornwall Light Infantry Regiment, went missing while attempting to swim alone around the Rock of Gibraltar from Little Bay to Eastern Beach. His clothes were found in Little Bay by Police Constable Conroy. Private Gordon Ashworth was the last person to see Colin Luke at Europa Point Barracks before he disappeared.",
11-Oct-64,48,Atlantic Ocean,"Roth, an American crime novelist, disappeared on 11 October 1964 while sailing on a ketch with her husband 20 miles north of Safi, Morocco. They departed Gibraltar for the Canary Islands on 8 October 1964. Her husband reported her missing about 4 a.m. while she was on watch, and reported a collision with another vessel. Her body was never recovered.",
17-Jan-67,33,"Coast of San Juan, Puerto Rico","American heiress Audrey Bruce Currier and her husband Stephen Currier, wealthy philanthropists described as one of the richest young couples in the world, vanished at sea sometime after 7:30 p.m. on the evening of 17 January 1967, on a routine 76 mi (122 km) charter flight from San Juan, Puerto Rico to St. Thomas in the Virgin Islands. Their plane, a Piper Apache piloted by John D. Watson (52) of Airplane Charters Inc., was last heard from when the pilot radioed at 7:30 p.m. for permission to overfly the U.S. Naval base at Isla Culebra, which was denied. The plane was never seen or heard from again. Because the pilot had failed to file a flight plan, the search for the plane did not commence until 5 a.m., nine hours after it failed to arrive in St. Thomas. Despite an extensive air–sea search by the U.S. Coast Guard, no trace of the plane or its passengers was ever found. Audrey Currier was a granddaughter of the financier Andrew Mellon and the daughter of senior US diplomat David K. E. Bruce, while her husband Stephen was the son of socialite Mary Warburg. The Curriers had for the past ten years provided millions of dollars in financial support to the civil rights movement in the U.S. through the Taconic Foundation and an umbrella group they founded, the Council for United Civil Rights Leadership.",
Stephen Currier,,,,
17-Dec-67,59,"Cheviot Beach, Australia","Holt, the Prime Minister of Australia, disappeared while swimming in heavy surf at a beach notorious for strong and dangerous rip currents. Despite one of the largest search-and-rescue operations ever mounted in Australia, his body was never found.",
1968,58,Atlantic Ocean,"Piver was an American boatbuilder credited with pioneering the design of the multihull. An eager amateur sailor, Piver set out to participate in the 1968 Single-Handed Trans-Atlantic Race, but was never seen again.",
22-May-69,23,English Channel,"Meyer, a USAF aircraft mechanic, stole a Lockheed C-130 Hercules while on a drinking binge, which he later crashed in the English Channel. The wreckage's remains were only discovered in 2018.",
10-Jul-69,36,Atlantic Ocean,"Crowhurst was a competitor in the Sunday Times Golden Globe single-handed nonstop around-the-world yacht race. An inexperienced yachtsman, Crowhurst fabricated his progress in the race through fake log entries, the last of which being dated 1 July 1969. His boat was found abandoned on 10 July 1969.",
c. 1971,44,Atlantic Ocean,"Brenton, an English writer, explorer and adventurer who travelled around the world, mostly around the Americas and Africa, supposedly disappeared c. 1971 while sailing back to England.",
16-Oct-72,58,Gulf of Alaska,"Louisiana congressman who, together with friend and fellow congressman Nick Begich, at-large representative from Alaska, disappeared while flying over the Gulf of Alaska en route from Anchorage to Juneau. Their bodies were never found and they were declared legally dead two months later.",
Nick Begich,,,,
28-Mar-73,68,Atlantic Ocean,"Stebbins, an American ambassador to Uganda, apparently fell overboard while travelling on the SS Leonardo da Vinci and was considered lost at sea, his body never being found.",
21-Feb-74,48,"Atlantic Ocean, near the Canary Islands","American balloonist Thomas Gatch disappeared while attempting to become the first human to cross the Atlantic by balloon. A day after lifting off from Harrisburg Airport on 18 February, his balloon named Light Heart lost radio contact. On 21 February, it was sighted by a ship about 1,600 km west of the Canary Islands but it has not been seen since.",
09-Jul-75,33,Atlantic Ocean,"Ader, a Dutch conceptual artist, performance artist, photographer and filmmaker, was lost at sea sometime after 9 July 1975 while attempting to cross the Atlantic Ocean from the U.S. to England in the smallest boat ever. His deserted vessel was found off the coast of Ireland on 18 April 1976 but offered few clues as to his fate.",
1977,79,Atlantic Ocean,"Tilman, an English mountaineer and explorer renowned for his sailing voyages and climbings of the Himalayan mountains, was invited as a crew member on the En Avant in 1977, with the final destination being Smith Island. However, the boat was presumably lost at sea near the Falkland Islands, with everybody on board perishing.",
Oct-77,60,"Portage Bay, Washington, U.S.","Wintermute, an American collegiate and professional basketball player, disappeared in October 1977, after setting out in his yacht from Portage Bay. His boat was found a few days later with one of his friends asleep on board; foul play was not suspected.",
17-Mar-78,31,"Hawaii, U.S.","Aikau, a Hawaiian lifeguard and surfer, disappeared on 17 March 1978 when he was lost at sea while attempting to reach the island of Lanai on a surfboard. The long-distance Hawaiian outrigger, the Hōkūleʻa, on which he was a crew member, began taking on water 20 miles off Molokai. He was last seen paddling his surfboard towards Lanai to get help.",
Nov-78,35,Atlantic Ocean,"Colas, a French sailor who was the first to complete a solitary round-the-world race in a multihull, disappeared while participating in the first Route du Rhum in his boat Manureva. Neither he nor his boat were ever found.",
07-Jul-79,40,"Gulf of Alaska, U.S.","Ian Mackintosh, the creator and writer of The Sandbaggers, a British television series, was flying with two others over the Gulf of Alaska in a light aircraft on 7 July 1979. The plane sent out a distress signal which was picked up by the United States Coast Guard. The plane's last known position was searched, but no wreckage of it was ever found, and its passengers have not been heard from since.",
23-Dec-79,47,Indian Ocean,"Mathews, an American adventurer and yachtsman, together with his wife Jean attempted to circumnavigate the world on their vessel, the Drambuie II. While heading towards Durban, South Africa, they sailed into the path of Cyclone Claudette and were presumably killed in the process.",
05-Aug-80,19,"East Falkland, Falkland Islands","The Royal Marine Alan Addis went missing on 5 August 1980. His small unit was on a patrol to North Arm in Lafonia on East Falkland. Addis was last seen at 1:30 a.m. after the marines had attended a local function in the social hall of the remote and small community. He was not missed until the other members of his team had set sail on a steamer to take them back to their base at Port Stanley. The official report assumes he drowned, but investigations and rumours have led to a belief that he was murdered. No body or trace has been found.",
Oct-80,53,"South Carolina, U.S.",The designer and naval architect Primrose went missing at sea during October 1980 and is presumed to have drowned.,
Sep-85,53,California,"Scholl was an American aerobatic pilot, aerial cameraman, flight instructor and educator based in Riverside, Southern California. He died during the filming of Top Gun when his Pitts S-2 camera plane failed to recover from a spin and plunged into the Pacific Ocean. Scholl had entered the spin intentionally in order to capture it on film using on-board cameras. Observers watched the plane continue to spin as it descended past the planned recovery altitude. The plane impacted the ocean about five miles (8 km) off the coast, near Carlsbad, California. The exact cause of the crash was never determined. Neither the aircraft nor Scholl's body were ever recovered.",
Jul-86,62,Baltic Sea,"A Swedish soil scientist, meteorologist and chemist, Odén was testing a top-secret newly invented device that could detect submarines in late July 1986. During this test, he disappeared at the Baltic Sea near the Roslagen, Stockholm archipelago, and presumably died.",
02-Aug-87,52,Atlantic Ocean,"Howell, a Turks and Caicos Islands politician and interim member of the advisory council, disappeared with four other people when their plane presumably crashed into the sea on 2 August 1987. Neither the wreckage or the bodies were ever found.",
11-Sep-90,Various,"South-east of Cape Race, Newfoundland",1990 Faucett Perú Boeing 727 was a airliner that mysteriously disappeared on 11 September 1990 in an area of the Atlantic Ocean in Newfoundland. No one knows what became of the aircraft or its passengers.,
21-May-95,52,Mariana Islands,"Hillblom, a co-founder of the DHL Worldwide shipping company, was on board a plane that went down in the Northern Mariana Islands on 21 May 1995. The bodies of the pilot and other passengers were found but no trace of Hillblom has ever been found. His house in Saipan was found to have had areas where DNA might be found washed down with acid and artifacts with DNA traces buried in the backyard in an apparent effort to prevent any possible claimants to his estate from proving Hillblom had been their father.",
12-Nov-95,45,Ionian Sea,"Bréguet, a Swiss-born associate of terrorist Carlos the Jackal, was last seen on a ferry from Italy to Greece 12 November 1995. His family suspected he had been murdered and a body found in Greece might have been his, but authorities remain uncertain.",
Jan-97,44,Pacific Ocean,"Canadian competitive sailor Roufs vanished at sea while competing in the Vendée Globe yacht race. His boat, the Groupe LG 2, was found off the coast of Chile in July 1997, but Roufs himself was never located.[247]",
14-Feb-97,47,"Hecate Strait, British Columbia","Hadwin, an anti-logging activist, went missing 14 February 1997 while traveling by kayak across the Hecate Strait to Graham Island near British Columbia to face criminal charges for cutting down Kiidk'yaas, a rare golden spruce tree revered by the Haida people. The wreckage of his kayak was discovered in June but no trace of Hadwin himself has been found.",
25-Jan-98,34,"Coral Sea, Australia","Tom and Eileen Lonergan, a married couple from Baton Rouge, Louisiana, disappeared when they were mistakenly stranded in the Coral Sea after a scuba dive on 25 January 1998. Eileen's father, John Hains, later said that he suspects the couple ultimately became dehydrated and disoriented and in the end succumbed to drowning or sharks.",
Eileen Lonergan,,,,
24-Mar-98,23,"Curaçao, Antilles","Bradley, an American passenger on the Royal Caribbean International cruise ship Rhapsody of the Seas, disappeared while the ship was docking in Curaçao.",
03-Sep-99,43,"Channel coast, France","French physician Yves Godard along with his children Camille and Marius were last seen buying waffles from a street vendor in Bréhec, a small port on the western tip of Brittany. Their rented sailboat was found abandoned in Plouézec the next day. On 7–8 September, blood identified as that of Dr Godard's wife Marie-France was found in their camper van and in the family home. Fragments of the bodies of the three were recovered from the sea bed over the next few years. Godard's wife is still considered missing and the apparent multiple murders are unsolved. The case was officially closed in 2012 with only accidental death eliminated as a possibility.",
Marie-France Godard,,,,
Camille Godard,,,,
Marius Godard,,,,
12-Jun-99,72,"Antipodes Islands, New Zealand","New Zealand sailor, writer and ornithologist Clark and his friend Roger Sale were sailing to recover satellite transmitters used to track albatrosses. Both of them disappeared while on the trip, and have never been located.",
30-Nov-00,45,"near San Francisco, California, U.S.","Smith, a Canadian musician and bassist for the rock band Loverboy, was sailing his boat, the Sea Major, along with two friends. A large wave then swept him overboard, with subsequent searches failing to find his body.",
07-Jul-02,33,"Tahiti, French Polynesia","Dele, an American professional basketball player, is believed to have been murdered by his brother in the sea near Tahiti, French Polynesia in 2002.",
c. 29 November 2004,72,Chuuk State,A Micronesian politician who served as the first elected Governor of Chuuk State (then called Truk). Aten and three other men were lost at sea while crossing Chuuk lagoon to Weno island when their boat was hit by a sudden storm.,
05-Jul-05,26,Coast of Turkey,"Smith, an American passenger on Brilliance of the Seas, disappeared from the ship and police suspect homicide.",
28-Jan-07,63,"San Francisco Bay, California, U.S.","Gray, a database pioneer, Microsoft Research scientist and Turing Award winner, left San Francisco Bay in his 12 m (39 ft) sailboat Tenacious to scatter his mother's ashes at the Farallon Islands, a wildlife refuge 43 km (27 mi) away. He was reported missing when he failed to return later the same day. No Mayday call was heard and his EPIRB was not activated. Despite an ambitious search-and-rescue mission, no trace of Gray or his yacht was ever found. In 2012, he was declared legally dead.",
Feb-07,38,Tasman Sea,"McAuley, an Australian adventurer best known for mountaineering and sea kayaking in remote parts of the world, is presumed to have died following his disappearance at sea while attempting to kayak 1,600 km (990 mi) across the Tasman Sea. A recovered memory stick on the kayak records him attempting to make a distress call.",
20-Apr-07,56,"Shute Harbour, Australia","Kaz II, a 9.8 m (32 ft) catamaran, was found adrift on 20 April 2007 near Australia's Great Barrier Reef with its three-man crew, owner Derek Batten and brothers Peter and James Tunstead, missing. The yacht's sails were up and its engine was running. The global positioning system showed the yacht had been drifting since around the time of their last-known radio contact, about 11 hours after they departed Shute Harbour for Townsville, Queensland, five days earlier.",
Peter Tunstead,,,,
James Tunstead,,,,
09-Nov-08,Various,Kiribati,"The burnt and abandoned wreck of the Tai Ching 21, a Taiwanese fishing boat, was found drifting on 9 November 2008 near Kiribati. It was assumed that when the fire proved beyond their ability to control, the 29-member crew evacuated using the lifeboat and three rafts that were missing. However, no distress call was received and an extensive search of the surrounding seas did not locate any of the crew or the lifeboats.",
01-Jan-09,72,Indian Ocean,"In December 2007, Slovenian sailor Šterk left Tauranga in New Zealand to sail solo around the world on his yacht Lunatic. His last radio message was heard on 1 January 2009. Lunatic was spotted on 26 January, approximately 1,000 nmi (1,900 km) off the coast of Australia. The boat was damaged and there was no sign of Šterk. Three months later, on 30 April 2009, Lunatic was found adrift by the crew of the science vessel RV Roger Revelle, 500 mi (800 km) south-eastern on position: 32°18′0″S 91°07′0″E﻿ / ﻿32.30000°S 91.11667°E﻿ / -32.30000; 91.11667. After boarding, it was found that the last log entry was made on 2 January 2009.",
01-Mar-09,26,"Off the coast of Clearwater, Florida, U.S.","Cooper, an American football linebacker, Smith, a defensive end, and Bleakley presumably died in a boating accident, in which only one man, Nick Schuyler, survived.",
Corey Smith,,,,
William Bleakley,,,,
09-Nov-09,68,North Atlantic Ocean,"Sailing solo on his boat the Mon Pays, Marcoux left the Eastern Passage on 9 November 2009 to voyage from Nova Scotia to Bermuda. When he did not arrive, a search was conducted by Canadian and U.S. aircraft. Members of the Air National Guard later joined the search. Three days were spent scouring the ocean between Virginia and Bermuda. Officials said that he likely encountered a series of storms with wind gusts of more than 110 km/h (68 mph) and waves measuring 10 m (33 ft) in height during his trip.",
22-Mar-11,24,Pacific Ocean near coast of Mexico,"Coriam, an English crew member aboard the cruise ship Disney Wonder, was last seen when a security camera in the crew lounge recorded her having an upsetting telephone conversation. Some reports suggest she went overboard, but there is other evidence that she may have still been alive the following May.",
20-Jun-12,35,"Fort Lauderdale, Florida, U.S.","Aguiar, a Brazilian-born American industrialist and investor in the Beitar Jerusalem Football Club, was reported missing on 20 June 2012 after his unoccupied fishing boat was found on the coast of Fort Lauderdale. He was declared legally dead on 29 January 2015.",
07-Apr-13,Unknown,Off the coast of West Africa,"Krause, an American Christian missionary and pilot mostly known for his work with the Sahel Aviation Service in Mali, disappeared on 7 April 2013 when his plane was reported missing off the coast in West Africa while en route to São Tomé International Airport. Since no wreckage has been found, authorities believe he might have been kidnapped.",
04-Jun-13,73,Tasman Sea,"Nemeth, an American computer engineer often described as the matriarch of system administration, disappeared along with several others aboard the schooner Niña that was between New Zealand and Australia on 4 June 2013. No trace of them has ever been found.",
c. 1 December 2014,63,Outer Banks,"Conant was an American boater who disappeared near the Outer Banks sometime c. 1 December 2014 while on an eight-month trip from Plattsburgh, New York to south Florida.",
02-Aug-15,53,"Formentera, Spain","Molchanova, a Russian champion free diver and multiple record holder, disappeared during a private diving lesson, likely swept away by water currents. Despite efforts from a search party, her body has never been located and she was declared dead in absentia.",
09-Sep-18,33,Labrador Sea,"The German pop singer apparently jumped off the cruise ship AIDAluna into the sea and disappeared during a cruise from Hamburg to New York on 9 September 2018. Despite an intense search, he was not found, and the search was abandoned after eighty hours as it was deemed impossible that he could still be alive.",
02-Jan-21,Various,Midway Island,"The vessel was spotted floating near Midway Island. Upon further inspection by the United States Coast Guard, a lifeboat was missing as were all ten crew, and the ship was heavily damaged.",
08-Mar-21,41,United States Virgin Islands,"Heslop disappeared from a catamaran moored off the coast of Saint John, one of the U.S. Virgin Islands, between 22:00 on 7 March 2021 and 02:30 on 8 March. Searches for her have proved fruitless. If she did go into the water, then she was only a maximum of 200 m (660 ft) from the shore.",
September 1475,45,English Channel,"Lancastrian leader during the English Wars of the Roses. Holland fell overboard for unknown reasons and drowned in the English Channel while returning to Britain, having served within Edward IV's 1475 expedition to France. He was later found floating in the sea between Dover and Calais.",
1544,unknown,Arctic Sea,"English soldier and voyager who led a fleet of three vessels in search of a north-east route towards the Far East and his boat on route to Lapland. While neither the wreckage or his body were ever recovered, Willoughby's journal was. It has been suggested that he died from carbon monoxide poisoning.",
1695,Various,"Uncertain, possibly Smyrna","The Ouzel was last seen in the autumn of 1695 leaving dock in Dublin under the command of Capt Eoghan Massey of Waterford. She reappeared—supposedly the triumphant victim of high seas piracy—in 1700. According to her captain, he and his crew had been commanded and forced to loot several locations including North Africa over the span of several years before overpowering their captors, retaking their vessel, and returning home unharmed.",
1897,46,"At sea, near the island of Madeira","Barnato was a British entrepreneur and Randlord who disappeared at sea after mysteriously falling overboard was later found dead on 14 June 1897 at sea near Madeira, Portugal.",
29-Sep-13,55,English Channel,"The German inventor of the diesel engine disappeared from the steamer SS Dresden on the way from Antwerp to London. He retired to his cabin at about 10 p.m. and was never seen alive again. Ten days later, a corpse was found in the North Sea near Norway, but only personal items could be retrieved. On 13 October, these items were identified by Rudolf's son Eugen as belonging to his father.",
1916,56,"Chesapeake Bay, U.S.","Michael Joseph McNally, a United States Marine Sergeant, disappeared between 1 and 2 November 1916, while he was aboard a Baltimore Steam Packet Company steamer, and roughly three weeks later he was found dead.",
1918,unknown,Cape Chelyuskin,"Tessem was a Norwegian carpenter who, together with a seaman named Paul Knutsen, disappeared in Cape Chelyuskin after an expedition to the Arctic. Four years later, a mummified corpse with a golden watch engraved with Tessem's name was found, indicating that it was his remains. Knutsen's body was never found.",
15-Nov-24,43,Northern Sea,"Portuguese aviator who, together with Gago Coutinho, conducted the first aerial crossing of the South Atlantic in 1922. Two years later, Cabral and his co-pilot would disappear while flying over the English channel, with only partial remains of their plane's wreckage recovered later on.",
04-Jul-28,51,North Sea,"Loewenstein was a Belgian financier who fell out of his private plane while travelling from Croydon to Brussels. His body was found 15 days later near Boulogne, France.",
Nov-41,21,Christmas Island,"Clark was a Royal Australian Navy sailor aboard HMAS Sydney who died during a battle with the German cruiser Kormoran. His body washed ashore on 6 February 1942, but remained unidentified until 19 November 2021.",
08-Dec-41,23,"Malalang Bay, Philippines","Tills was a USN officer and pilot who became the first American naval officer killed during the Battle of the Philippines. His body was lost at sea, but was recovered in November 2007 and positively identified in December 2008.",
1943,41,Pacific Ocean,"Japanese author of popular fiction who pioneered the use of black humor in the country. He was conscripted by the Imperial Japanese Navy and sent to fight in the Pacific, where he was declared missing in action. However, he safely returned to Chōshi a year later.",
27-May-43,26,"Oahu, Hawaii, U.S.","Zamperini was an Olympic distance runner and soldier serving on the B-24 bomber Green Hornet. Due to mechanical difficulties, the bomber crashed into the sea, killing most of the crew aside from Zamperini and two others. The trio drifted across the sea for 47 days, during which one man died, before Zamperini and his companion were captured by the Imperial Japanese Navy off the coast of the Marshall Islands. Zamperini was then held in POW camps until the end of the war.",
22-Apr-43,25,North Atlantic Ocean,"Thompson was a member of the Ontario Rugby Football Union and served within the Royal Canadian Air Force in World War II. He was one of eighty-six individuals lost at sea when the ship upon which he was traveling, the SS Amerika, was torpedoed by the German Submarine U-306 south of Cape Farewell, Greenland.",
13-Jun-43,38,"Kiel, Nazi Germany",Forrest was Brigadier general of the USAAF who crashlanded in Germany during a bombing raid. His body was found washed up on Ruegen Island several months after he was reported missing.,
Jan-44,31,Pacific Ocean,Boyington was an American combat pilot during World War II who was shot down in January 1944 was captured and was detained for a year and a half. Boyington was released after the surrender of Japan.,
Oct-47,21,Atlantic Ocean,Gibson was a young British actress who disappeared while she was on a trip aboard the MV Durban Castle between England and South Africa on 18 October 1947. It was later discovered that she was murdered and disposed of at sea.,
01-Oct-50,unknown,"Near Chuksan-ri, South Korea","Langwell was a USN seaman who was declared missing in action after falling overboard after the ship he was ensigned to, the minesweeper USS Magpie, struck a mine and sank. Langwell's body washed ashore and was buried by villagers, with his remains returned to the United States in 2008.",
27-Aug-63,21,"Sisters' Islands, Singapore","Cheok, a bar waitress, was allegedly murdered by her boyfriend, Grand Prix driver and law student Sunny Ang, during a boat trip to Sisters' Island. While Cheok's body has never been found, Ang was tried, convicted and ultimately hanged for the murder.",
04-Jun-89,various,Pacific Ocean,"The trimaran, which was occupied by four New Zealand nationals, capsized off the coast of New Zealand and leaving the men drifting on the wreckage for 119 days before they managed to reach land.",
30-Jun-05,48,"Off the coast of Los Angeles, California, U.S.",McDermott was the boyfriend of singer Olivia Newton-John; he disappeared after going on an overnight fishing trip. The United States Coast Guard concluded he was likely lost at sea. He was the subject of unsubstantiated claims to have faked his own death.,
20-Apr-08,41,Off the coast of Brazil,"Adelir Antônio de Carli (February 8, 1967 – April 20, 2008), also known in Brazil as Padre Baloeiro or Padre do Balão (""Balloon Priest"" in Portuguese), was a Brazilian Catholic priest, who died during an attempt at cluster ballooning on April 20, 2008. On July 4, 2008, the lower half of a human body was found floating on the ocean surface about 100 km (62 mi) from Macaé.",
04-Jan-09,20,"Te Henga / Bethells Beach, New Zealand","Professional rugby player for the New Zealand Warriors who disappeared while trying to save his brother and four cousins from a rip current. While his body was never found, he was declared drowned a few months later.",
26-Jan-09,65,"Hobart, Tasmania, Australia","Chappell was a radiation oncology medical physicist who was killed by his partner aboard a yacht named Four Winds. Though Chappell's body has never been found, his partner, Susan Neill-Fraser, was convicted of the crime.",
28-Feb-09,Various,"Off the coast of Clearwater, Florida, U.S.","Boating accident where all three eventually succumbed to hypothermia and their bodies were later lost at sea. Sole survivor Nick Schuyler co-wrote a book about the experience in 2010, titled Not Without Hope.",
29-Sep-10,47,Adriatic Sea,"American balloonist champion who, together with colleague Carol Rymer Davis, disappeared while competing for the Gordon Bennett Cup due to a thunderstorm. Their bodies were found three months later off the Italian coast, on 6 December 2010.",
Carol Rymer Davis,,,,
17-Nov-12,37,"Costa Azul, Mexico","Salvadoran fisherman who got lost at sea in the Pacific Ocean. He remained adrift until 30 January 2014, when he was finally found washed ashore at the Marshall Islands' Ebon Atoll, and returned to his home country.",
08-Mar-14,various: 1–76,South China Sea,"A commercial Boeing 777-200ER airliner which disappeared above the South China Sea on 8 March 2014, carrying 239 passengers and crew. The precise cause of the loss of the aircraft is undetermined, and only eighteen pieces of debris conclusively determined as belonging to the aircraft have ever been recovered. It is now believed to be located in the southern Indian Ocean.",
15-Nov-17,various,South Atlantic,"The ARA San Juan was an Argentine submarine which mysteriously vanished while performing a training exercise. Despite search efforts, assisted by several nations, the fate of the submarine and its crew remained unknown until a year later, when marine robotics company Ocean Infinity discovered the sunken wreck.",
21-Jan-22,76,Azores,"Savin was an adventurer who embarked on a three-month journey from Sagres, Portugal to Martinique on 1 January 2022. On 21 January, Savin issued two distress calls, with last contact at 00:34 that morning. His boat was discovered overturned later that day. Despite being reported as having been found dead in the boat's cabin, it was later clarified he had not been recovered.",
0,2,3,4,
c. 1324 BC,Unknown,En route to ancient Egypt from Hittite Empire,"Zannanza was sent by his father, Hittite king Šuppiluliuma I to wed Egyptian queen Ankhesenamun but never arrived in Egypt and never returned to the Hittites. Ancient Egyptian officials reported no knowledge of Zannanza's whereabouts while Šuppiluliuma I accused them of foul play. Circumstances escalated into conflict.",
c. 700 BC,At least 60,"Campus Martius, Rome","While Romulus was reviewing his troops in the Campus Martius (near where the Pantheon is now), a sudden storm with lightning and thunderclaps arose. A thick, black cloud hid him from view and no one saw him again. Some nearby observers said that he had been swept away by the tempest. Livy and Plutarch say Romulus's generals may have used the opportunity to assassinate him.",
524 BC,Various,Western Desert of Egypt,"A legendary army of 50,000 men sent by Cambyses II into the Siwa Oasis in Egypt. According to Herodotus, they had gone halfway across the desert when supposedly a giant sandstorm buried them all as they were never seen again.",
